temperature,humidity,movement,sound_level,battery,fuzz,interval,detected
35.6,65.8,1,54.92,68.88,1,758,1
38.6,73.8,0,67.92,62.88,1,758,1
42.6,78.8,0,80.92,55.88,1,758,1
47.6,85.8,0,93.92,48.88,1,1134,1
52.6,91.8,0,112.92,39.88,1,1134,1
56.6,100.8,0,123.92,31.88,1,764,1
60.6,105.8,0,138.92,25.88,1,764,1
64.6,113.8,0,150.92,16.88,1,764,1
25,61,1,37,80,1,1000,0
27,62,1,39,79,1,1000,0
25,63,0,44,79,1,1000,0
25,60,0,43,82,1,1000,0
28,59,1,38,82,1,1000,0
24,59,0,41,82,1,1000,0
25,57,1,45,80,1,1000,0
24,61,0,39,78,1,1000,0
26,58,1,38,79,1,1000,0
25,62,1,42,80,1,1000,0
28,57,1,42,80,1,1000,0
28,60,0,41,81,1,1000,0
23,58,1,38,81,1,1000,0
25,59,0,44,80,1,1000,0
24,57,1,40,82,1,1000,0
24,57,0,40,80,1,1000,0
26,58,1,39,78,1,1000,0
25,57,0,42,80,1,1000,0
26,58,1,42,80,1,1000,0
25,62,1,37,81,1,1000,0
25,58,1,37,79,1,1000,0
27,62,1,43,79,1,1000,0
27,62,0,39,82,1,1000,0
28,59,1,44,80,1,1000,0
25,60,0,44,81,1,1000,0
26,57,0,42,81,1,1000,0
26,58,1,38,78,1,1000,0
27,60,1,42,78,1,1000,0
27,62,1,44,78,1,1000,0
28,58,0,45,82,1,1000,0
25,59,1,43,81,1,1000,0
24,59,0,45,79,1,1000,0
28,57,0,40,79,1,1000,0
28,60,1,43,78,1,1000,0
27,62,0,39,79,1,1000,0
23,62,1,45,82,1,1000,0
24,62,1,41,79,1,1000,0
24,63,0,43,81,1,1000,0
24,58,1,39,80,1,1000,0
23,58,0,44,78,1,1000,0
23,57,1,42,80,1,1000,0
27,60,1,44,81,1,1000,0
24,59,1,45,78,1,1000,0
28,59,1,38,81,1,1000,0
25,63,0,45,79,1,1000,0
23,61,1,40,79,1,1000,0
23,61,1,43,78,1,1000,0
23,57,0,45,78,1,1000,0
24,58,1,45,82,1,1000,0
26,61,1,43,82,1,1000,0
28,59,0,40,78,1,1000,0
23,63,0,42,82,1,1000,0
28,59,1,43,81,1,1000,0
23,59,1,42,81,1,1000,0
27,63,1,45,80,1,1000,0
27,60,0,38,81,1,1000,0
23,59,1,43,78,1,1000,0
23,57,0,41,82,1,1000,0
27,62,0,38,82,1,1000,0
23,62,1,45,81,1,1000,0
26,61,0,44,78,1,1000,0
28,59,1,45,79,1,1000,0
25,58,0,41,78,1,1000,0
26,60,1,45,80,1,1000,0
28,63,0,40,82,1,1000,0
28,57,1,42,81,1,1000,0
25,59,1,45,80,1,1000,0
26,63,1,43,82,1,1000,0
28,62,1,42,81,1,1000,0
27,61,1,43,81,1,1000,0
24,62,0,44,82,1,1000,0
24,59,0,43,79,1,1000,0
27,60,0,41,82,1,1000,0
28,62,0,38,82,1,1000,0
27,63,0,43,82,1,1000,0
28,57,1,38,79,1,1000,0
23,59,1,42,82,1,1000,0
24,61,1,37,82,1,1000,0
24,60,0,43,78,1,1000,0
26,62,1,45,80,1,1000,0
28,62,0,39,78,1,1000,0
23,62,1,41,78,1,1000,0
27,63,0,38,82,1,1000,0
24,61,1,45,78,1,1000,0
28,58,0,40,79,1,1000,0
24,60,0,40,78,1,1000,0
25,59,1,37,81,1,1000,0
25,59,0,39,78,1,1000,0
26,58,0,39,79,1,1000,0
23,62,1,40,82,1,1000,0
23,59,0,37,78,1,1000,0
27,59,1,42,81,1,1000,0
28,57,1,41,81,1,1000,0
25,63,0,39,80,1,1000,0
26,57,0,41,81,1,1000,0
28,60,1,43,79,1,1000,0
24,61,0,37,78,1,1000,0
24,63,0,38,81,1,1000,0
27,62,0,44,80,1,1000,0
28,59,1,42,80,1,1000,0
26,62,0,43,78,1,1000,0
27,62,0,39,82,1,1000,0
26,58,1,43,82,1,1000,0
26,59,1,45,82,1,1000,0
28,62,1,43,80,1,1000,0
23,62,1,41,79,1,1000,0
26,61,1,44,79,1,1000,0
28,59,0,43,82,1,1000,0
24,60,1,45,82,1,1000,0
26,57,1,41,79,1,1000,0
23,61,1,41,81,1,1000,0
28,60,0,42,81,1,1000,0
23,60,0,44,80,1,1000,0
26,61,1,37,81,1,1000,0
27,57,0,40,78,1,1000,0
27,61,1,43,81,1,1000,0
23,61,1,45,78,1,1000,0
28,63,0,38,81,1,1000,0
24,62,1,44,80,1,1000,0
27,59,0,37,78,1,1000,0
28,61,0,39,80,1,1000,0
27,61,0,40,81,1,1000,0
23,57,1,38,79,1,1000,0
28,57,1,39,80,1,1000,0
23,57,0,45,80,1,1000,0
25,63,0,45,80,1,1000,0
28,63,0,43,82,1,1000,0
28,57,0,41,82,1,1000,0
24,61,0,41,78,1,1000,0
28,59,0,37,80,1,1000,0
25,62,1,37,82,1,1000,0
24,61,1,39,80,1,1000,0
26,63,1,40,80,1,1000,0
27,57,1,45,80,1,1000,0
28,60,0,42,82,1,1000,0
24,63,0,44,82,1,1000,0
24,60,0,38,80,1,1000,0
26,63,1,44,82,1,1000,0
23,63,1,42,81,1,1000,0
25,60,0,38,79,1,1000,0
25,60,0,39,79,1,1000,0
26,57,1,43,82,1,1000,0
24,61,1,42,79,1,1000,0
24,63,1,37,82,1,1000,0
23,59,1,45,80,1,1000,0
25,61,0,41,80,1,1000,0
28,57,0,45,80,1,1000,0
25,59,1,44,79,1,1000,0
28,60,0,37,82,1,1000,0
28,60,0,38,79,1,1000,0
23,58,1,39,80,1,1000,0
24,63,1,37,81,1,1000,0
26,63,1,42,81,1,1000,0
24,58,1,37,81,1,1000,0
23,61,0,40,82,1,1000,0
28,59,1,38,79,1,1000,0
26,61,1,40,78,1,1000,0
26,61,0,42,78,1,1000,0
26,62,1,38,78,1,1000,0
26,58,1,45,79,1,1000,0
26,60,0,45,80,1,1000,0
26,58,1,38,80,1,1000,0
25,61,0,39,81,1,1000,0
26,62,1,43,82,1,1000,0
23,61,0,44,78,1,1000,0
26,62,0,45,79,1,1000,0
23,57,0,43,82,1,1000,0
28,58,0,42,78,1,1000,0
27,60,0,45,79,1,1000,0
25,62,1,41,81,1,1000,0
23,60,1,43,79,1,1000,0
26,61,0,44,78,1,1000,0
24,63,1,38,82,1,1000,0
25,57,0,41,79,1,1000,0
25,63,1,42,82,1,1000,0
26,62,1,44,78,1,1000,0
27,58,0,39,81,1,1000,0
26,57,0,45,79,1,1000,0
28,57,0,45,81,1,1000,0
25,63,1,41,82,1,1000,0
26,59,0,38,81,1,1000,0
26,61,0,41,81,1,1000,0
28,61,0,44,78,1,1000,0
23,61,0,43,82,1,1000,0
27,63,1,38,79,1,1000,0
26,58,0,41,81,1,1000,0
28,60,0,41,79,1,1000,0
24,59,1,42,82,1,1000,0
28,62,0,40,81,1,1000,0
24,57,0,42,78,1,1000,0
28,59,0,44,79,1,1000,0
23,57,0,40,78,1,1000,0
25,58,0,45,78,1,1000,0
27,63,0,38,79,1,1000,0
28,61,1,39,82,1,1000,0
28,63,0,41,79,1,1000,0
27,62,0,45,82,1,1000,0
25,57,0,42,80,1,1000,0
23,62,1,37,78,1,1000,0
28,60,0,44,80,1,1000,0
26,59,1,41,78,1,1000,0
26,57,0,44,81,1,1000,0
24,57,1,37,79,1,1000,0
24,62,0,40,79,1,1000,0
27,62,1,42,81,1,1000,0
25,57,0,45,78,1,1000,0
26,62,1,45,82,1,1000,0
26,62,1,38,80,1,1000,0
24,57,0,44,80,1,1000,0
24,61,0,41,81,1,1000,0
23,57,0,42,82,1,1000,0
27,58,1,43,80,1,1000,0
26,59,1,44,81,1,1000,0
24,61,1,42,78,1,1000,0
26,62,0,44,78,1,1000,0
26,63,0,41,79,1,1000,0
28,60,1,45,80,1,1000,0
23,63,1,43,78,1,1000,0
25,57,1,45,81,1,1000,0
24,58,1,44,79,1,1000,0
26,63,0,42,79,1,1000,0
23,58,0,42,79,1,1000,0
24,59,1,42,82,1,1000,0
23,57,1,44,81,1,1000,0
23,61,0,39,79,1,1000,0
25,57,0,44,78,1,1000,0
28,58,1,44,78,1,1000,0
26,63,1,42,78,1,1000,0
27,60,1,44,80,1,1000,0
27,62,1,39,78,1,1000,0
27,60,1,37,78,1,1000,0
24,59,1,45,79,1,1000,0
24,61,0,44,80,1,1000,0
26,61,1,45,79,1,1000,0
25,63,0,37,81,1,1000,0
27,62,0,40,81,1,1000,0
23,59,0,42,80,1,1000,0
28,62,1,38,82,1,1000,0
23,61,0,41,82,1,1000,0
28,58,1,37,82,1,1000,0
23,58,0,40,81,1,1000,0
28,63,0,42,81,1,1000,0
28,62,1,44,80,1,1000,0
27,62,0,37,78,1,1000,0
26,58,1,41,82,1,1000,0
23,60,1,40,81,1,1000,0
25,60,1,45,78,1,1000,0
23,59,0,43,79,1,1000,0
27,62,1,41,81,1,1000,0
26,60,0,42,82,1,1000,0
28,58,0,37,81,1,1000,0
26,57,1,44,79,1,1000,0
28,63,0,40,81,1,1000,0
24,63,0,41,78,1,1000,0
28,59,1,41,82,1,1000,0
23,57,0,42,81,1,1000,0
28,59,0,40,80,1,1000,0
25,60,0,44,82,1,1000,0
25,57,1,42,81,1,1000,0
26,59,1,41,79,1,1000,0
25,62,1,40,82,1,1000,0
23,63,1,41,82,1,1000,0
26,60,0,45,81,1,1000,0
26,60,1,43,81,1,1000,0
28,63,1,39,81,1,1000,0
28,62,1,42,78,1,1000,0
26,59,1,38,78,1,1000,0
28,57,1,44,79,1,1000,0
27,61,0,38,81,1,1000,0
23,62,0,43,82,1,1000,0
24,63,1,44,80,1,1000,0
26,62,1,40,80,1,1000,0
26,62,1,38,80,1,1000,0
24,63,1,42,81,1,1000,0
24,62,0,43,82,1,1000,0
26,57,1,43,79,1,1000,0
27,60,1,44,80,1,1000,0
27,60,1,45,78,1,1000,0
24,59,0,38,79,1,1000,0
26,59,0,41,79,1,1000,0
25,60,0,37,79,1,1000,0
25,63,1,37,78,1,1000,0
27,61,0,40,78,1,1000,0
28,62,0,44,82,1,1000,0
27,61,1,38,79,1,1000,0
25,59,0,42,79,1,1000,0
27,60,1,39,82,1,1000,0
26,57,0,45,80,1,1000,0
25,61,1,40,82,1,1000,0
26,61,1,38,78,1,1000,0
24,58,0,40,80,1,1000,0
24,59,1,37,79,1,1000,0
26,63,1,44,82,1,1000,0
24,63,1,40,78,1,1000,0
24,62,0,42,81,1,1000,0
27,61,1,38,81,1,1000,0
25,62,1,43,82,1,1000,0
26,62,1,44,79,1,1000,0
23,62,0,44,81,1,1000,0
23,60,0,40,82,1,1000,0
25,59,1,37,79,1,1000,0
28,60,0,43,80,1,1000,0
28,62,1,41,78,1,1000,0
24,58,1,37,82,1,1000,0
27,61,0,37,82,1,1000,0
26,61,1,39,81,1,1000,0
28,58,1,43,81,1,1000,0
27,60,0,45,80,1,1000,0
26,58,1,44,81,1,1000,0
24,57,1,45,80,1,1000,0
27,59,1,37,78,1,1000,0
27,57,0,41,79,1,1000,0
23,63,0,45,79,1,1000,0
27,61,1,45,79,1,1000,0
27,60,0,40,81,1,1000,0
26,57,0,38,78,1,1000,0
25,62,1,37,82,1,1000,0
25,57,0,39,82,1,1000,0
23,59,1,39,78,1,1000,0
24,60,1,41,80,1,1000,0
26,59,1,38,80,1,1000,0
26,62,1,45,82,1,1000,0
28,62,1,44,82,1,1000,0
25,57,0,44,80,1,1000,0
25,59,0,39,80,1,1000,0
25,62,0,39,79,1,1000,0
23,57,1,37,81,1,1000,0
28,62,1,43,80,1,1000,0
24,59,0,40,82,1,1000,0
24,60,1,37,81,1,1000,0
27,58,0,44,80,1,1000,0
28,61,0,40,80,1,1000,0
26,59,1,42,80,1,1000,0
26,61,0,42,80,1,1000,0
28,57,1,44,82,1,1000,0
23,61,1,37,82,1,1000,0
27,57,0,39,79,1,1000,0
28,62,1,38,80,1,1000,0
23,59,1,40,80,1,1000,0
25,58,1,40,80,1,1000,0
28,60,0,40,82,1,1000,0
26,59,1,40,79,1,1000,0
23,60,1,44,82,1,1000,0
24,59,1,41,81,1,1000,0
27,63,1,39,82,1,1000,0
24,58,1,45,82,1,1000,0
27,61,1,43,80,1,1000,0
25,59,0,39,82,1,1000,0
27,60,0,43,80,1,1000,0
27,59,1,39,79,1,1000,0
27,63,1,41,80,1,1000,0
24,59,1,40,80,1,1000,0
25,58,0,39,82,1,1000,0
27,58,0,43,81,1,1000,0
28,57,0,37,82,1,1000,0
27,59,1,45,78,1,1000,0
25,61,1,40,82,1,1000,0
27,58,0,42,81,1,1000,0
24,58,0,37,78,1,1000,0
28,58,1,37,78,1,1000,0
27,60,1,37,80,1,1000,0
24,60,1,37,78,1,1000,0
25,58,0,40,80,1,1000,0
28,57,0,37,81,1,1000,0
24,59,0,44,80,1,1000,0
26,62,1,42,79,1,1000,0
23,62,0,41,79,1,1000,0
24,59,0,37,79,1,1000,0
24,62,1,43,78,1,1000,0
24,57,1,39,78,1,1000,0
23,57,0,39,79,1,1000,0
23,61,1,37,81,1,1000,0
28,58,1,38,78,1,1000,0
28,60,1,41,78,1,1000,0
23,62,0,42,80,1,1000,0
23,57,0,43,81,1,1000,0
24,63,1,38,82,1,1000,0
26,60,0,43,81,1,1000,0
26,60,0,38,78,1,1000,0
24,60,0,42,80,1,1000,0
26,57,1,37,78,1,1000,0
27,60,0,41,81,1,1000,0
26,60,1,45,80,1,1000,0
28,59,0,45,78,1,1000,0
27,63,1,43,81,1,1000,0
26,58,1,45,78,1,1000,0
25,60,0,45,81,1,1000,0
27,62,0,44,79,1,1000,0
28,59,0,44,81,1,1000,0
27,58,1,37,79,1,1000,0
24,61,1,43,82,1,1000,0
23,60,0,40,80,1,1000,0
28,63,0,43,80,1,1000,0
23,57,1,41,79,1,1000,0
23,58,1,45,79,1,1000,0
27,57,1,44,78,1,1000,0
26,59,0,38,81,1,1000,0
25,59,1,37,78,1,1000,0
27,60,0,44,80,1,1000,0
23,58,1,41,82,1,1000,0
28,61,0,37,81,1,1000,0
23,59,0,41,79,1,1000,0
23,60,0,45,79,1,1000,0
26,61,1,39,78,1,1000,0
27,60,0,45,80,1,1000,0
28,59,0,44,82,1,1000,0
25,61,1,37,79,1,1000,0
27,62,0,38,78,1,1000,0
28,57,1,37,80,1,1000,0
24,57,0,40,80,1,1000,0
25,61,0,42,81,1,1000,0
23,57,0,44,78,1,1000,0
26,57,0,44,80,1,1000,0
23,57,0,39,82,1,1000,0
28,59,1,43,78,1,1000,0
24,63,1,41,81,1,1000,0
26,59,0,44,80,1,1000,0
26,63,1,45,82,1,1000,0
27,59,1,39,79,1,1000,0
25,62,1,45,80,1,1000,0
25,62,1,38,81,1,1000,0
26,59,1,39,82,1,1000,0
23,62,0,41,79,1,1000,0
24,61,0,37,81,1,1000,0
28,58,1,38,80,1,1000,0
28,59,1,41,82,1,1000,0
25,63,1,37,78,1,1000,0
24,63,1,44,82,1,1000,0
26,57,1,43,79,1,1000,0
25,61,0,44,82,1,1000,0
26,61,0,44,80,1,1000,0
24,57,0,37,79,1,1000,0
27,61,0,43,79,1,1000,0
23,57,1,38,82,1,1000,0
28,61,1,45,78,1,1000,0
28,63,1,44,78,1,1000,0
27,60,0,41,80,1,1000,0
27,61,1,41,80,1,1000,0
24,57,1,38,79,1,1000,0
26,61,0,43,81,1,1000,0
28,60,1,39,81,1,1000,0
28,63,1,38,79,1,1000,0
23,63,1,41,81,1,1000,0
23,62,1,39,81,1,1000,0
24,60,0,44,82,1,1000,0
26,61,0,38,81,1,1000,0
27,60,1,43,79,1,1000,0
27,61,1,37,80,1,1000,0
27,61,1,43,80,1,1000,0
27,60,0,39,81,1,1000,0
27,60,0,38,78,1,1000,0
23,62,0,44,81,1,1000,0
26,58,0,38,79,1,1000,0
24,61,0,39,79,1,1000,0
24,58,1,44,82,1,1000,0
28,61,0,39,82,1,1000,0
27,61,0,41,81,1,1000,0
24,61,1,45,80,1,1000,0
25,58,1,43,80,1,1000,0
25,63,1,41,82,1,1000,0
27,62,0,43,78,1,1000,0
27,57,0,45,81,1,1000,0
26,62,0,37,80,1,1000,0
27,63,0,43,80,1,1000,0
23,59,1,38,79,1,1000,0
26,57,0,40,82,1,1000,0
28,57,0,43,79,1,1000,0
28,61,1,39,78,1,1000,0
27,58,1,45,82,1,1000,0
24,60,0,41,81,1,1000,0
24,61,1,45,78,1,1000,0
26,57,1,42,80,1,1000,0
26,63,1,41,80,1,1000,0
28,59,0,42,81,1,1000,0
26,62,1,39,82,1,1000,0
23,59,0,45,81,1,1000,0
24,59,0,44,78,1,1000,0
25,58,1,42,82,1,1000,0
28,62,0,44,80,1,1000,0
24,62,0,39,78,1,1000,0
26,61,0,44,82,1,1000,0
23,59,1,41,81,1,1000,0
27,57,0,41,81,1,1000,0
23,63,1,42,82,1,1000,0
27,62,0,44,80,1,1000,0
23,57,1,44,78,1,1000,0
27,61,1,40,82,1,1000,0
23,62,0,38,80,1,1000,0
27,59,1,42,81,1,1000,0
25,58,0,45,80,1,1000,0
25,63,1,43,80,1,1000,0
27,57,1,41,79,1,1000,0
27,57,0,38,82,1,1000,0
26,63,1,41,79,1,1000,0
25,61,0,40,81,1,1000,0
24,57,1,42,79,1,1000,0
23,58,0,37,79,1,1000,0
24,61,0,40,82,1,1000,0
27,60,0,38,82,1,1000,0
24,63,0,44,79,1,1000,0
28,59,1,40,80,1,1000,0
24,58,1,37,82,1,1000,0
26,63,1,41,82,1,1000,0
27,59,0,45,81,1,1000,0
25,60,1,43,78,1,1000,0
25,60,0,44,81,1,1000,0
25,63,1,45,78,1,1000,0
25,63,0,45,79,1,1000,0
26,58,1,38,81,1,1000,0
23,60,1,45,82,1,1000,0
23,58,1,41,79,1,1000,0
23,58,0,41,80,1,1000,0
28,63,1,39,81,1,1000,0
24,59,1,41,82,1,1000,0
24,60,1,45,81,1,1000,0
24,63,1,45,79,1,1000,0
25,62,0,42,80,1,1000,0
24,58,1,38,78,1,1000,0
23,63,1,40,80,1,1000,0
27,59,0,44,80,1,1000,0
25,63,1,41,79,1,1000,0
25,63,1,43,81,1,1000,0
23,60,1,40,79,1,1000,0
25,61,0,44,81,1,1000,0
28,63,0,41,78,1,1000,0
23,62,0,40,81,1,1000,0
27,62,0,41,82,1,1000,0
23,59,1,37,82,1,1000,0
23,58,0,45,79,1,1000,0
28,58,0,39,82,1,1000,0
24,62,1,41,82,1,1000,0
28,57,0,40,81,1,1000,0
25,62,1,44,81,1,1000,0
27,57,0,45,78,1,1000,0
28,60,0,43,79,1,1000,0
23,57,0,40,80,1,1000,0
24,59,0,45,82,1,1000,0
28,61,1,44,81,1,1000,0
24,59,0,45,82,1,1000,0
23,62,0,44,78,1,1000,0
23,59,0,45,81,1,1000,0
25,59,0,39,79,1,1000,0
27,61,0,45,81,1,1000,0
23,61,1,43,79,1,1000,0
25,58,1,40,78,1,1000,0
25,59,0,41,79,1,1000,0
26,61,0,41,79,1,1000,0
24,58,1,40,82,1,1000,0
28,63,1,42,78,1,1000,0
27,63,1,43,82,1,1000,0
26,58,0,42,81,1,1000,0
26,63,1,42,82,1,1000,0
23,62,0,41,79,1,1000,0
24,57,1,45,80,1,1000,0
26,62,0,39,80,1,1000,0
25,60,0,43,78,1,1000,0
24,63,0,40,82,1,1000,0
24,63,1,37,82,1,1000,0
27,57,1,40,79,1,1000,0
23,62,0,40,79,1,1000,0
26,63,1,40,80,1,1000,0
27,58,1,43,78,1,1000,0
27,60,0,44,78,1,1000,0
24,62,0,40,79,1,1000,0
28,63,1,38,82,1,1000,0
25,63,0,44,79,1,1000,0
25,63,1,43,81,1,1000,0
27,57,1,44,81,1,1000,0
28,57,0,39,79,1,1000,0
28,59,0,41,79,1,1000,0
23,63,1,41,81,1,1000,0
27,58,1,43,79,1,1000,0
25,59,0,43,81,1,1000,0
27,61,0,43,82,1,1000,0
25,59,1,43,81,1,1000,0
24,63,1,42,82,1,1000,0
25,57,0,41,79,1,1000,0
26,63,1,39,78,1,1000,0
28,60,1,40,81,1,1000,0
23,59,1,44,82,1,1000,0
26,62,1,38,82,1,1000,0
25,58,1,41,81,1,1000,0
26,58,0,44,82,1,1000,0
23,58,0,37,78,1,1000,0
26,59,0,37,80,1,1000,0
25,60,0,43,81,1,1000,0
26,63,0,40,79,1,1000,0
28,58,0,39,80,1,1000,0
24,63,1,43,81,1,1000,0
25,63,1,44,79,1,1000,0
27,61,0,43,79,1,1000,0
23,63,0,43,82,1,1000,0
28,59,1,45,82,1,1000,0
28,59,1,39,82,1,1000,0
24,58,1,40,78,1,1000,0
24,60,0,39,78,1,1000,0
28,62,1,38,78,1,1000,0
28,60,1,41,80,1,1000,0
24,57,0,39,82,1,1000,0
24,58,1,43,81,1,1000,0
27,58,0,38,79,1,1000,0
25,63,0,39,79,1,1000,0
24,60,0,37,78,1,1000,0
28,62,1,44,80,1,1000,0
27,59,0,39,81,1,1000,0
25,58,1,45,79,1,1000,0
25,58,0,40,78,1,1000,0
27,60,1,43,80,1,1000,0
26,58,0,39,82,1,1000,0
26,58,1,41,82,1,1000,0
28,62,1,45,78,1,1000,0
27,58,0,39,81,1,1000,0
24,63,0,41,81,1,1000,0
26,60,0,43,82,1,1000,0
26,60,1,44,81,1,1000,0
23,60,1,39,78,1,1000,0
27,62,1,41,78,1,1000,0
23,59,0,37,79,1,1000,0
26,58,0,43,81,1,1000,0
28,58,1,42,81,1,1000,0
28,57,1,43,81,1,1000,0
25,61,0,42,82,1,1000,0
26,62,0,37,80,1,1000,0
23,60,1,45,80,1,1000,0
28,61,0,45,80,1,1000,0
28,58,1,45,78,1,1000,0
24,60,0,42,81,1,1000,0
26,60,0,37,79,1,1000,0
26,59,0,43,81,1,1000,0
23,61,0,38,81,1,1000,0
26,57,1,45,80,1,1000,0
28,61,0,40,79,1,1000,0
26,57,1,40,81,1,1000,0
28,60,1,40,78,1,1000,0
23,59,1,40,81,1,1000,0
23,62,0,38,82,1,1000,0
25,57,0,37,82,1,1000,0
26,61,0,39,78,1,1000,0
23,60,0,40,82,1,1000,0
27,57,1,45,82,1,1000,0
28,58,0,38,81,1,1000,0
27,59,1,40,78,1,1000,0
27,60,0,38,82,1,1000,0
24,63,0,42,80,1,1000,0
28,63,1,41,79,1,1000,0
26,57,1,38,80,1,1000,0
26,60,1,40,79,1,1000,0
26,58,1,42,79,1,1000,0
26,57,0,37,78,1,1000,0
24,57,1,39,82,1,1000,0
28,60,1,41,79,1,1000,0
28,58,0,40,80,1,1000,0
23,57,1,43,81,1,1000,0
28,59,0,43,79,1,1000,0
28,59,0,43,78,1,1000,0
28,63,1,38,80,1,1000,0
25,57,0,42,80,1,1000,0
23,58,0,41,78,1,1000,0
25,62,0,42,78,1,1000,0
25,61,0,45,81,1,1000,0
27,63,0,37,81,1,1000,0
27,60,1,39,79,1,1000,0
24,62,1,45,80,1,1000,0
26,61,1,41,80,1,1000,0
26,60,1,39,82,1,1000,0
26,58,1,41,79,1,1000,0
24,62,0,45,81,1,1000,0
24,62,0,39,82,1,1000,0
28,59,0,45,82,1,1000,0
27,57,0,45,79,1,1000,0
24,60,1,44,81,1,1000,0
24,58,1,43,78,1,1000,0
25,60,1,44,79,1,1000,0
24,59,1,40,79,1,1000,0
25,59,1,43,78,1,1000,0
25,60,1,45,82,1,1000,0
26,57,1,43,79,1,1000,0
24,59,0,45,78,1,1000,0
24,63,0,40,79,1,1000,0
24,57,0,37,79,1,1000,0
26,57,1,42,82,1,1000,0
24,58,1,39,82,1,1000,0
24,61,0,44,80,1,1000,0
23,58,0,40,81,1,1000,0
27,61,0,43,79,1,1000,0
28,62,1,40,82,1,1000,0
24,59,0,38,78,1,1000,0
27,57,0,43,79,1,1000,0
24,62,1,39,79,1,1000,0
24,61,0,45,79,1,1000,0
24,57,0,40,78,1,1000,0
28,61,1,37,82,1,1000,0
23,59,1,41,80,1,1000,0
