temperature,humidity,movement,sound_level,battery,attack,anomaly_dist
25.73,60.945,0.0,42.73,79.157,whitebox_adversarial,3.1
25.682,61.028,0.0,42.692,79.333,whitebox_adversarial,3.04
25.82,61.07,0.0,42.66,79.323,whitebox_adversarial,3.06
25.711,61.024,0.0,42.676,79.306,whitebox_adversarial,3.03
25.558,60.697,0.0,41.884,79.504,whitebox_adversarial,2.14
25.799,61.064,0.0,42.708,79.174,whitebox_adversarial,3.13
25.698,61.001,0.0,42.767,79.229,whitebox_adversarial,3.12
25.538,60.722,0.0,41.865,79.524,whitebox_adversarial,2.12
25.503,60.625,0.0,41.895,79.53,whitebox_adversarial,2.11
25.556,60.731,0.0,41.852,79.497,whitebox_adversarial,2.13
25.565,60.613,0.0,41.883,79.471,whitebox_adversarial,2.13
25.538,60.651,0.0,41.884,79.474,whitebox_adversarial,2.13
25.804,60.967,0.0,42.782,79.316,whitebox_adversarial,3.13
25.655,60.944,0.0,42.763,79.249,whitebox_adversarial,3.08
25.661,60.97,0.0,42.656,79.229,whitebox_adversarial,3.0
25.839,60.91,0.0,42.702,79.323,whitebox_adversarial,3.05
25.799,61.077,0.0,42.756,79.306,whitebox_adversarial,3.14
25.699,60.946,0.0,42.842,79.292,whitebox_adversarial,3.16
25.777,61.049,0.0,42.745,79.24,whitebox_adversarial,3.13
25.778,60.94,0.0,42.812,79.22,whitebox_adversarial,3.16
25.766,60.928,0.0,42.831,79.334,whitebox_adversarial,3.15
25.716,60.934,0.0,42.668,79.174,whitebox_adversarial,3.03
25.664,61.098,0.0,42.677,79.315,whitebox_adversarial,3.05
25.511,60.703,0.0,41.884,79.518,whitebox_adversarial,2.13
25.754,61.043,0.0,42.719,79.244,whitebox_adversarial,3.1
25.684,61.059,0.0,42.681,79.199,whitebox_adversarial,3.07
25.546,60.644,0.0,41.881,79.444,whitebox_adversarial,2.14
25.803,60.962,0.0,42.788,79.332,whitebox_adversarial,3.13
25.709,61.014,0.0,42.761,79.274,whitebox_adversarial,3.11
25.772,61.025,0.0,42.789,79.285,whitebox_adversarial,3.15
25.787,60.915,0.0,42.732,79.167,whitebox_adversarial,3.1
25.694,60.988,0.0,42.697,79.316,whitebox_adversarial,3.03
25.759,61.052,0.0,42.75,79.274,whitebox_adversarial,3.13
25.836,60.998,0.0,42.77,79.298,whitebox_adversarial,3.14
25.664,61.003,0.0,42.834,79.249,whitebox_adversarial,3.17
25.744,61.092,0.0,42.686,79.193,whitebox_adversarial,3.1
25.669,60.9,0.0,42.804,79.297,whitebox_adversarial,3.1
25.438,60.676,0.0,41.892,79.456,whitebox_adversarial,2.13
25.775,60.965,0.0,42.732,79.302,whitebox_adversarial,3.08
25.696,61.081,0.0,42.801,79.32,whitebox_adversarial,3.16
25.85,60.945,0.0,42.7,79.203,whitebox_adversarial,3.09
25.766,61.099,0.0,42.755,79.278,whitebox_adversarial,3.15
25.822,61.087,0.0,42.756,79.317,whitebox_adversarial,3.15
25.711,60.988,0.0,42.847,79.331,whitebox_adversarial,3.17
25.81,60.954,0.0,42.759,79.262,whitebox_adversarial,3.12
25.751,61.027,0.0,42.8,79.217,whitebox_adversarial,3.17
25.716,60.925,0.0,42.82,79.239,whitebox_adversarial,3.15
25.696,61.052,0.0,42.654,79.213,whitebox_adversarial,3.04
25.685,61.031,0.0,42.663,79.161,whitebox_adversarial,3.05
25.766,60.904,0.0,42.681,79.271,whitebox_adversarial,3.02
25.739,60.989,0.0,42.811,79.329,whitebox_adversarial,3.14
25.652,60.936,0.0,42.76,79.18,whitebox_adversarial,3.1
25.691,61.032,0.0,42.77,79.341,whitebox_adversarial,3.11
25.749,60.96,0.0,42.722,79.195,whitebox_adversarial,3.09
25.659,60.97,0.0,42.654,79.238,whitebox_adversarial,3.0
25.779,61.022,0.0,42.812,79.292,whitebox_adversarial,3.17
25.671,60.995,0.0,42.699,79.159,whitebox_adversarial,3.07
25.695,60.991,0.0,42.685,79.315,whitebox_adversarial,3.02
25.835,60.94,0.0,42.654,79.335,whitebox_adversarial,3.01
25.56,60.602,0.0,41.896,79.554,whitebox_adversarial,2.11
25.563,60.673,0.0,41.88,79.515,whitebox_adversarial,2.13
25.773,60.983,0.0,42.681,79.298,whitebox_adversarial,3.04
25.665,61.046,0.0,42.744,79.252,whitebox_adversarial,3.1
25.712,61.094,0.0,42.724,79.185,whitebox_adversarial,3.13
25.694,60.993,0.0,42.797,79.193,whitebox_adversarial,3.15
25.822,60.976,0.0,42.698,79.274,whitebox_adversarial,3.07
25.557,60.634,0.0,41.898,79.453,whitebox_adversarial,2.15
25.668,61.035,0.0,42.664,79.245,whitebox_adversarial,3.03
25.534,60.638,0.0,41.879,79.503,whitebox_adversarial,2.11
25.819,60.989,0.0,42.78,79.173,whitebox_adversarial,3.17
25.827,60.998,0.0,42.681,79.288,whitebox_adversarial,3.06
25.659,60.957,0.0,42.738,79.233,whitebox_adversarial,3.07
25.754,60.956,0.0,42.773,79.225,whitebox_adversarial,3.13
25.78,60.922,0.0,42.7,79.241,whitebox_adversarial,3.05
25.729,61.062,0.0,42.756,79.269,whitebox_adversarial,3.13
25.654,61.003,0.0,42.734,79.17,whitebox_adversarial,3.1
25.807,61.088,0.0,42.77,79.303,whitebox_adversarial,3.16
25.707,61.058,0.0,42.836,79.346,whitebox_adversarial,3.18
25.658,60.989,0.0,42.679,79.217,whitebox_adversarial,3.03
25.565,60.602,0.0,41.879,79.477,whitebox_adversarial,2.12
25.746,61.096,0.0,42.676,79.16,whitebox_adversarial,3.1
25.839,60.953,0.0,42.668,79.235,whitebox_adversarial,3.05
25.836,61.0,0.0,42.702,79.251,whitebox_adversarial,3.09
25.548,60.66,0.0,41.881,79.485,whitebox_adversarial,2.13
25.756,61.095,0.0,42.71,79.156,whitebox_adversarial,3.14
25.728,60.94,0.0,42.686,79.285,whitebox_adversarial,3.02
25.703,60.971,0.0,42.793,79.243,whitebox_adversarial,3.13
25.722,61.071,0.0,42.693,79.33,whitebox_adversarial,3.06
25.719,60.908,0.0,42.675,79.198,whitebox_adversarial,3.02
25.533,60.617,0.0,41.892,79.514,whitebox_adversarial,2.12
25.792,61.043,0.0,42.718,79.183,whitebox_adversarial,3.13
25.754,61.007,0.0,42.773,79.153,whitebox_adversarial,3.16
25.836,60.953,0.0,42.672,79.198,whitebox_adversarial,3.06
25.705,60.907,0.0,42.689,79.226,whitebox_adversarial,3.02
25.727,60.968,0.0,42.668,79.155,whitebox_adversarial,3.05
25.46,60.701,0.0,41.89,79.501,whitebox_adversarial,2.13
25.756,60.963,0.0,42.803,79.319,whitebox_adversarial,3.13
25.553,60.658,0.0,41.874,79.474,whitebox_adversarial,2.13
25.557,60.613,0.0,41.869,79.446,whitebox_adversarial,2.12
25.781,60.907,0.0,42.81,79.27,whitebox_adversarial,3.14
25.821,60.92,0.0,42.733,79.158,whitebox_adversarial,3.11
25.74,60.953,0.0,42.735,79.326,whitebox_adversarial,3.06
25.704,61.079,0.0,42.716,79.251,whitebox_adversarial,3.1
25.734,60.951,0.0,42.68,79.22,whitebox_adversarial,3.04
25.763,60.983,0.0,42.701,79.344,whitebox_adversarial,3.05
25.807,61.094,0.0,42.678,79.255,whitebox_adversarial,3.09
25.684,61.064,0.0,42.703,79.336,whitebox_adversarial,3.06
25.673,61.013,0.0,42.662,79.27,whitebox_adversarial,3.02
25.813,60.914,0.0,42.702,79.283,whitebox_adversarial,3.05
25.674,61.087,0.0,42.687,79.215,whitebox_adversarial,3.08
25.768,61.044,0.0,42.681,79.171,whitebox_adversarial,3.09
25.85,60.991,0.0,42.746,79.334,whitebox_adversarial,3.11
25.668,60.923,0.0,42.839,79.213,whitebox_adversarial,3.16
25.721,60.99,0.0,42.688,79.33,whitebox_adversarial,3.03
25.701,61.041,0.0,42.658,79.281,whitebox_adversarial,3.03
25.479,60.687,0.0,41.893,79.533,whitebox_adversarial,2.12
25.825,60.927,0.0,42.724,79.257,whitebox_adversarial,3.08
25.709,60.912,0.0,42.701,79.227,whitebox_adversarial,3.04
25.689,60.952,0.0,42.728,79.219,whitebox_adversarial,3.07
25.757,61.054,0.0,42.768,79.343,whitebox_adversarial,3.13
25.754,61.082,0.0,42.662,79.236,whitebox_adversarial,3.07
25.79,61.097,0.0,42.669,79.262,whitebox_adversarial,3.08
25.675,61.05,0.0,42.795,79.324,whitebox_adversarial,3.13
25.776,61.022,0.0,42.818,79.324,whitebox_adversarial,3.17
25.657,61.011,0.0,42.822,79.28,whitebox_adversarial,3.15
25.734,60.938,0.0,42.791,79.191,whitebox_adversarial,3.14
25.669,61.078,0.0,42.69,79.208,whitebox_adversarial,3.08
25.844,61.042,0.0,42.712,79.21,whitebox_adversarial,3.13
25.658,61.046,0.0,42.651,79.296,whitebox_adversarial,3.01
25.84,61.051,0.0,42.747,79.237,whitebox_adversarial,3.15
25.715,61.004,0.0,42.77,79.33,whitebox_adversarial,3.1
25.849,60.916,0.0,42.686,79.22,whitebox_adversarial,3.06
25.707,60.935,0.0,42.749,79.334,whitebox_adversarial,3.06
25.657,60.913,0.0,42.666,79.203,whitebox_adversarial,3.0
25.847,60.942,0.0,42.765,79.25,whitebox_adversarial,3.13
25.766,60.975,0.0,42.678,79.236,whitebox_adversarial,3.05
25.788,61.074,0.0,42.764,79.164,whitebox_adversarial,3.18
25.684,60.914,0.0,42.708,79.295,whitebox_adversarial,3.02
25.663,61.073,0.0,42.668,79.155,whitebox_adversarial,3.07
25.661,61.071,0.0,42.76,79.235,whitebox_adversarial,3.13
25.539,60.665,0.0,41.899,79.453,whitebox_adversarial,2.15
25.544,60.607,0.0,41.885,79.522,whitebox_adversarial,2.11
25.787,60.953,0.0,42.723,79.254,whitebox_adversarial,3.08
25.742,60.965,0.0,42.7,79.223,whitebox_adversarial,3.06
25.68,61.074,0.0,42.677,79.289,whitebox_adversarial,3.05
25.82,60.948,0.0,42.652,79.159,whitebox_adversarial,3.05
25.535,60.732,0.0,41.866,79.443,whitebox_adversarial,2.15
25.768,61.051,0.0,42.652,79.269,whitebox_adversarial,3.04
25.848,60.952,0.0,42.675,79.261,whitebox_adversarial,3.05
25.513,60.706,0.0,41.886,79.541,whitebox_adversarial,2.13
25.699,61.011,0.0,42.716,79.336,whitebox_adversarial,3.05
25.786,61.095,0.0,42.757,79.247,whitebox_adversarial,3.16
25.671,60.947,0.0,42.663,79.336,whitebox_adversarial,2.98
25.675,60.94,0.0,42.669,79.33,whitebox_adversarial,2.99
25.795,60.914,0.0,42.776,79.301,whitebox_adversarial,3.11
25.816,61.044,0.0,42.714,79.289,whitebox_adversarial,3.1
25.841,61.018,0.0,42.737,79.301,whitebox_adversarial,3.12
25.85,60.932,0.0,42.758,79.246,whitebox_adversarial,3.12
25.764,60.91,0.0,42.767,79.267,whitebox_adversarial,3.1
25.781,61.044,0.0,42.808,79.275,whitebox_adversarial,3.18
25.758,61.021,0.0,42.705,79.255,whitebox_adversarial,3.08
25.825,61.036,0.0,42.768,79.194,whitebox_adversarial,3.17
25.797,61.065,0.0,42.768,79.218,whitebox_adversarial,3.17
25.739,61.073,0.0,42.754,79.224,whitebox_adversarial,3.14
25.66,60.929,0.0,42.725,79.339,whitebox_adversarial,3.03
25.751,60.947,0.0,42.718,79.313,whitebox_adversarial,3.05
25.727,61.055,0.0,42.672,79.272,whitebox_adversarial,3.05
25.561,60.654,0.0,41.89,79.551,whitebox_adversarial,2.12
25.754,61.01,0.0,42.814,79.25,whitebox_adversarial,3.17
25.657,61.037,0.0,42.816,79.205,whitebox_adversarial,3.17
25.661,61.088,0.0,42.756,79.278,whitebox_adversarial,3.12
25.743,60.984,0.0,42.669,79.197,whitebox_adversarial,3.05
25.817,60.929,0.0,42.76,79.193,whitebox_adversarial,3.13
25.683,61.013,0.0,42.775,79.332,whitebox_adversarial,3.1
25.68,61.083,0.0,42.816,79.276,whitebox_adversarial,3.18
25.774,61.028,0.0,42.653,79.342,whitebox_adversarial,3.02
25.767,61.056,0.0,42.652,79.252,whitebox_adversarial,3.05
25.751,60.987,0.0,42.7,79.256,whitebox_adversarial,3.06
25.725,61.094,0.0,42.714,79.209,whitebox_adversarial,3.12
25.506,60.667,0.0,41.893,79.471,whitebox_adversarial,2.14
25.789,60.905,0.0,42.743,79.156,whitebox_adversarial,3.11
25.774,61.036,0.0,42.753,79.271,whitebox_adversarial,3.13
25.729,60.908,0.0,42.781,79.349,whitebox_adversarial,3.08
25.653,61.012,0.0,42.815,79.259,whitebox_adversarial,3.15
25.774,61.039,0.0,42.674,79.335,whitebox_adversarial,3.05
25.655,61.067,0.0,42.689,79.151,whitebox_adversarial,3.09
25.739,60.967,0.0,42.74,79.23,whitebox_adversarial,3.1
25.804,61.079,0.0,42.675,79.209,whitebox_adversarial,3.1
25.555,60.612,0.0,41.892,79.56,whitebox_adversarial,2.11
